County,City,PostalCode,ModelYear,Make,Model,ElectricVehicleType,ElectricRange,MSRP,CAFVEligibility,Latitude,Longitude,CensusTract,ElectricUtility
Snohomish,Spokane,99489,2015,Chevrolet,Leaf,BEV,194,57720,Eligible,48.6606772858588,-117.87277295880584,450891,Puget Sound Energy
King,Everett,99229,2019,Chevrolet,Kona Electric,BEV,86,60001,Eligible,45.98902198442634,-118.79125478824945,261686,Seattle City Light
King,Seattle,99811,2012,BMW,Mustang Mach-E,BEV,94,29700,Eligible,45.83644048106253,-120.87522846589125,816549,Tacoma Power
Spokane,Everett,99791,2020,Ford,Leaf,BEV,255,68795,Eligible,46.98600412515084,-122.10416073434568,641889,Avista
Snohomish,Vancouver,98265,2012,Nissan,Kona Electric,BEV,111,32860,Not Eligible,48.767876171465275,-121.18620545959047,717620,Tacoma Power
Clark,Spokane,99560,2019,BMW,Kona Electric,BEV,68,32526,Not Eligible,47.398352960666536,-121.65332303002168,485398,Seattle City Light
Snohomish,Everett,99985,2015,BMW,Leaf,PHEV,349,63327,Eligible,47.34609762302606,-122.35541962836496,826903,Seattle City Light
Spokane,Tacoma,98792,2020,Hyundai,Bolt,PHEV,56,64500,Eligible,45.993941414047626,-118.66833606182323,560828,Puget Sound Energy
Spokane,Vancouver,98252,2022,Ford,Mustang Mach-E,BEV,298,27513,Not Eligible,45.502763288826266,-121.86154573547388,481148,Seattle City Light
Snohomish,Vancouver,98821,2016,Nissan,Kona Electric,PHEV,166,32830,Eligible,48.335490317609114,-120.54791144390954,859860,Tacoma Power
Spokane,Everett,99312,2014,Ford,Kona Electric,BEV,117,39781,Eligible,45.80651097045183,-120.9919135955653,390144,Puget Sound Energy
Snohomish,Everett,98163,2020,Nissan,i3,BEV,83,32910,Eligible,47.718474365573634,-117.1164970388684,230439,Seattle City Light
Pierce,Spokane,98094,2022,Ford,Kona Electric,BEV,243,40847,Not Eligible,48.70115759080317,-120.95790041303657,339691,Puget Sound Energy
Snohomish,Seattle,99805,2020,BMW,Leaf,PHEV,104,30649,Eligible,46.23028169605451,-122.9801138618211,219277,Puget Sound Energy
Snohomish,Everett,98832,2015,BMW,Kona Electric,PHEV,315,75248,Eligible,47.82845492682919,-122.91613260828146,392527,Avista
Spokane,Everett,99133,2022,Tesla,Bolt,BEV,91,34120,Not Eligible,45.77544501847628,-119.66010081120508,242857,Puget Sound Energy
Spokane,Tacoma,98335,2015,Chevrolet,Mustang Mach-E,PHEV,346,26951,Eligible,47.613143003431645,-119.60413691370127,665198,Puget Sound Energy
King,Vancouver,98821,2023,Hyundai,Mustang Mach-E,BEV,280,35165,Eligible,46.07376102333621,-120.77806656186274,794388,Seattle City Light
King,Seattle,98237,2019,Ford,Kona Electric,PHEV,59,39352,Eligible,48.075837461803125,-120.6930159999718,780215,Tacoma Power
Pierce,Tacoma,98380,2013,Hyundai,Model 3,PHEV,177,34746,Not Eligible,46.55430953177868,-123.14943821153433,910713,Tacoma Power
King,Spokane,99459,2020,Tesla,Model 3,BEV,228,68738,Eligible,47.121868530816265,-120.1424476824698,475982,Seattle City Light
Snohomish,Spokane,98898,2017,Chevrolet,Leaf,PHEV,242,53997,Not Eligible,47.598006897096674,-120.21919341002771,629129,Tacoma Power
Spokane,Everett,98482,2020,Ford,Model 3,BEV,141,66954,Not Eligible,46.09945693733184,-122.52792942937987,197204,Puget Sound Energy
King,Everett,99960,2019,Nissan,Leaf,BEV,280,49183,Eligible,48.09573236516167,-122.82504399027897,160155,Avista
King,Spokane,98901,2018,Chevrolet,i3,BEV,127,33804,Not Eligible,46.55924119222885,-122.69677881110331,418457,Puget Sound Energy
Pierce,Everett,99048,2012,BMW,Leaf,BEV,134,52169,Eligible,47.818301509694635,-122.84331639780682,617953,Puget Sound Energy
Pierce,Seattle,99676,2023,Tesla,Model 3,PHEV,79,25595,Eligible,46.05399067744781,-119.53689672901106,883877,Avista
Snohomish,Everett,99140,2014,Chevrolet,Kona Electric,BEV,262,54592,Eligible,47.90841180722222,-122.22286275938103,885428,Seattle City Light
Spokane,Vancouver,98481,2022,Chevrolet,i3,BEV,98,65643,Eligible,45.948658254836616,-121.86570401078149,998120,Puget Sound Energy
Pierce,Everett,99415,2013,BMW,Model 3,PHEV,314,45823,Eligible,46.988747736944944,-122.37178106301565,618985,Puget Sound Energy
King,Tacoma,98916,2016,Ford,Leaf,PHEV,194,30972,Eligible,46.365221258086066,-117.27407052108472,248515,Seattle City Light
Spokane,Seattle,98993,2016,Nissan,Bolt,BEV,118,40882,Eligible,48.11931337299864,-117.94498648951307,525466,Puget Sound Energy
Spokane,Tacoma,98963,2016,BMW,Mustang Mach-E,PHEV,107,25858,Not Eligible,46.41712251577406,-122.00178355721512,232994,Puget Sound Energy
King,Tacoma,98536,2015,Nissan,Model 3,BEV,234,30519,Eligible,48.586010572383884,-121.37081908950618,918408,Tacoma Power
Pierce,Vancouver,99102,2016,Ford,Leaf,PHEV,111,48769,Not Eligible,48.621370739923144,-122.13569652501752,767351,Seattle City Light
King,Seattle,99603,2014,Chevrolet,i3,BEV,345,50020,Eligible,46.18754460327975,-120.30280626350465,204405,Puget Sound Energy
Spokane,Seattle,99196,2023,Nissan,Model 3,BEV,215,67748,Eligible,47.64846080752704,-123.37253153891736,678032,Puget Sound Energy
Clark,Seattle,99979,2012,Tesla,Model 3,BEV,220,62085,Eligible,45.807011746019874,-119.13610794217082,626761,Avista
Clark,Seattle,99035,2016,Tesla,Mustang Mach-E,BEV,112,44838,Eligible,46.8703798486057,-120.09947202618532,763468,Avista
Snohomish,Seattle,99823,2020,BMW,Leaf,BEV,196,69912,Eligible,47.99662605325445,-117.65884696604283,653003,Avista
King,Vancouver,98127,2020,Ford,Bolt,BEV,210,37879,Not Eligible,47.807981363974704,-122.4314475518653,344826,Puget Sound Energy
King,Everett,99631,2015,BMW,i3,BEV,190,58798,Not Eligible,47.686452342923126,-118.27328990060265,353856,Puget Sound Energy
Snohomish,Tacoma,98091,2014,BMW,Leaf,PHEV,146,67255,Not Eligible,46.48889302281855,-118.35225340596635,863707,Avista
Snohomish,Seattle,99676,2012,Hyundai,i3,BEV,270,49290,Eligible,46.82308732302041,-122.67332227009024,619637,Tacoma Power
Snohomish,Everett,98542,2013,BMW,Model 3,BEV,92,71073,Not Eligible,45.860311506451005,-120.90936504306318,876796,Tacoma Power
Spokane,Everett,98845,2019,Hyundai,Mustang Mach-E,BEV,341,35255,Eligible,48.01657987151761,-122.39400783256065,525426,Tacoma Power
King,Tacoma,99555,2012,Tesla,Mustang Mach-E,BEV,157,26447,Eligible,47.263610788769455,-121.84431674702593,923749,Tacoma Power
Spokane,Vancouver,99681,2019,Tesla,Kona Electric,PHEV,315,68005,Not Eligible,47.98067971320979,-121.78889986360146,427660,Seattle City Light
Snohomish,Spokane,98988,2018,BMW,Bolt,PHEV,144,54195,Not Eligible,46.37130233678906,-119.88446343883248,788722,Avista
King,Spokane,99851,2019,Tesla,Mustang Mach-E,BEV,311,27850,Eligible,46.63553380022273,-120.82582894355697,154604,Puget Sound Energy
Spokane,Everett,98446,2023,Ford,Model 3,BEV,120,53400,Eligible,46.6697536804104,-117.33973677395902,608410,Avista
Spokane,Tacoma,98389,2017,Hyundai,Bolt,PHEV,268,36953,Eligible,45.590098434115255,-122.67859407734447,104889,Tacoma Power
Snohomish,Spokane,98671,2023,Hyundai,Leaf,BEV,70,65874,Not Eligible,46.69366755490718,-117.1710011234737,844917,Puget Sound Energy
King,Everett,99884,2020,BMW,Mustang Mach-E,PHEV,141,48535,Eligible,48.31156600731312,-122.00084883860728,960180,Seattle City Light
Snohomish,Vancouver,98042,2014,Tesla,Bolt,BEV,176,35000,Not Eligible,48.64054473512409,-118.47631941351796,918403,Avista
King,Spokane,98253,2021,Nissan,Model 3,PHEV,129,34503,Eligible,47.31376410472575,-121.29669547987666,674839,Puget Sound Energy
Clark,Everett,99153,2015,Hyundai,Kona Electric,BEV,287,40493,Eligible,47.09425593326727,-122.56997092978746,758561,Puget Sound Energy
Pierce,Everett,99083,2017,BMW,i3,BEV,231,29055,Eligible,45.607886165447795,-117.92372029589944,337230,Tacoma Power
Pierce,Seattle,98662,2019,BMW,i3,PHEV,74,63170,Eligible,48.57721518154884,-121.49240415496298,336139,Tacoma Power
Pierce,Vancouver,98466,2016,Ford,Model 3,BEV,205,57408,Eligible,45.54553574699055,-119.21743987252553,733245,Avista
Snohomish,Seattle,98286,2014,Chevrolet,Model 3,BEV,54,67049,Not Eligible,48.806625280735744,-119.81811604693692,189882,Seattle City Light
Clark,Tacoma,99010,2017,Chevrolet,i3,BEV,169,59440,Not Eligible,47.21225687040832,-120.43358398895931,400102,Puget Sound Energy
King,Seattle,99540,2015,Hyundai,Kona Electric,BEV,326,53251,Not Eligible,46.69677072751154,-120.27717342778449,834611,Tacoma Power
Spokane,Seattle,99490,2020,Ford,Bolt,BEV,67,29532,Not Eligible,48.73476452194931,-118.74045355840013,367825,Avista
King,Spokane,99953,2014,Ford,i3,BEV,247,29924,Not Eligible,45.58536847588534,-122.92947605819764,201982,Tacoma Power
Spokane,Everett,98777,2015,Ford,Model 3,BEV,106,73037,Eligible,47.534987132041806,-119.15682569727362,146870,Avista
King,Vancouver,98344,2018,Hyundai,Mustang Mach-E,BEV,142,37546,Not Eligible,47.42126383574768,-117.67722134090924,313328,Tacoma Power
Clark,Seattle,98641,2018,Chevrolet,Leaf,PHEV,68,51579,Eligible,46.26762140423984,-123.12437671937089,953635,Seattle City Light
Spokane,Vancouver,98381,2023,Ford,Kona Electric,BEV,242,31085,Eligible,47.00110600972574,-122.58575329498116,259224,Puget Sound Energy
Snohomish,Seattle,99802,2023,Tesla,Kona Electric,BEV,286,37390,Eligible,47.78292402080319,-118.8418924114368,674349,Tacoma Power
King,Tacoma,98689,2015,BMW,Mustang Mach-E,BEV,326,38280,Eligible,48.04495918908675,-120.65766928640998,288691,Puget Sound Energy
King,Seattle,99276,2017,BMW,Mustang Mach-E,BEV,276,49118,Eligible,45.50250900547303,-120.87693396471103,682523,Avista
Spokane,Spokane,99950,2023,Nissan,Model 3,BEV,282,29864,Not Eligible,48.778987005318555,-122.60971687546247,924322,Seattle City Light
Snohomish,Everett,99079,2014,Nissan,i3,BEV,89,67084,Eligible,46.07583880337484,-120.20599473533437,714361,Puget Sound Energy
Snohomish,Tacoma,99486,2017,Hyundai,Bolt,BEV,202,58989,Eligible,46.31753151977826,-122.67745547722355,947833,Tacoma Power
Clark,Seattle,98456,2023,Hyundai,Kona Electric,BEV,176,60628,Eligible,46.422157059928466,-120.40196703398149,635505,Puget Sound Energy
Snohomish,Vancouver,98982,2013,BMW,Kona Electric,BEV,286,51849,Eligible,45.63237047793212,-118.53650055674923,410495,Puget Sound Energy
Snohomish,Tacoma,98082,2019,Tesla,Mustang Mach-E,BEV,104,52566,Eligible,45.93068243256614,-121.82128167373344,920173,Avista
Snohomish,Tacoma,99928,2013,Chevrolet,i3,BEV,221,35702,Eligible,48.952224730304565,-120.37488990683177,513870,Seattle City Light
Pierce,Seattle,99122,2022,Chevrolet,Kona Electric,BEV,158,66196,Eligible,46.6032585808205,-117.05189619892057,292386,Seattle City Light
Clark,Tacoma,98148,2018,Hyundai,Bolt,BEV,233,40385,Eligible,45.90355381618667,-119.03677224819876,363552,Puget Sound Energy
King,Vancouver,99352,2020,Tesla,Mustang Mach-E,BEV,247,34336,Not Eligible,45.87446941411118,-118.0311809865162,621817,Puget Sound Energy
Spokane,Tacoma,99179,2012,Hyundai,Bolt,PHEV,136,56225,Not Eligible,48.018109886844904,-120.80349055735645,667191,Avista
King,Vancouver,98189,2019,Chevrolet,i3,BEV,250,61021,Eligible,48.49099032411424,-118.50890399968193,839568,Puget Sound Energy
Clark,Seattle,99517,2018,Hyundai,Kona Electric,BEV,324,28782,Eligible,46.399333048279644,-123.23669037588141,207042,Avista
Spokane,Everett,98882,2017,Ford,Leaf,BEV,260,48341,Eligible,45.57318329317332,-122.70107731347541,868013,Seattle City Light
Clark,Tacoma,98262,2017,Hyundai,Kona Electric,BEV,167,74918,Not Eligible,46.280815064558745,-122.18004114601959,756578,Seattle City Light
Snohomish,Everett,99103,2017,BMW,i3,BEV,240,76833,Eligible,45.69780491778865,-120.88731249000108,281644,Avista
Spokane,Vancouver,98399,2020,Hyundai,Kona Electric,BEV,91,49094,Eligible,45.861882278205144,-118.00265829088254,594897,Puget Sound Energy
Snohomish,Tacoma,98763,2013,BMW,Kona Electric,PHEV,91,74111,Not Eligible,47.01027841946675,-121.24927066987846,484333,Seattle City Light
King,Spokane,98608,2012,Tesla,Model 3,BEV,325,48866,Eligible,46.30471429801571,-119.24496224214948,733556,Tacoma Power
King,Everett,99283,2023,Chevrolet,Kona Electric,PHEV,66,79238,Eligible,47.30581057483898,-118.88945708377736,654393,Avista
Spokane,Tacoma,99795,2017,Nissan,Kona Electric,BEV,332,44049,Eligible,46.38722813640017,-119.68981469842578,169634,Seattle City Light
Spokane,Everett,99638,2021,Nissan,Bolt,BEV,307,67719,Not Eligible,48.79188055386032,-121.17792720689411,479570,Seattle City Light
Clark,Tacoma,99575,2022,Chevrolet,Leaf,BEV,112,55992,Not Eligible,48.670803887741926,-119.74915327886197,238691,Seattle City Light
Clark,Seattle,98784,2019,Nissan,Bolt,BEV,111,74037,Not Eligible,47.483821367536635,-121.27527364686665,505155,Tacoma Power
Snohomish,Everett,98100,2014,Hyundai,Bolt,BEV,149,39567,Eligible,46.740483971955854,-122.95482069941193,118226,Tacoma Power
Spokane,Spokane,99382,2023,Tesla,Mustang Mach-E,BEV,68,69451,Eligible,46.834014087121574,-117.0467741417909,125322,Tacoma Power
King,Spokane,99403,2021,Tesla,Model 3,BEV,66,28513,Not Eligible,46.94148299100574,-122.67331405138867,944647,Puget Sound Energy
Clark,Vancouver,98819,2012,Chevrolet,Bolt,PHEV,295,74647,Not Eligible,48.0465276274723,-123.02973550506563,791572,Avista
Clark,Tacoma,99244,2020,Nissan,i3,PHEV,300,38335,Eligible,47.080736484315935,-117.78955013015349,194835,Puget Sound Energy
King,Everett,98819,2012,Hyundai,i3,BEV,130,69140,Not Eligible,48.49855481277064,-121.53807470419618,355027,Tacoma Power
Clark,Vancouver,98419,2014,Tesla,Kona Electric,BEV,88,63590,Eligible,48.804331750756276,-119.2730696685222,173079,Avista
Snohomish,Everett,98123,2019,Tesla,Mustang Mach-E,BEV,85,39837,Eligible,46.67581153682627,-121.36146275719548,123946,Puget Sound Energy
Spokane,Tacoma,98421,2014,Ford,Model 3,BEV,246,37122,Not Eligible,47.46243068481488,-120.95554723983594,787100,Puget Sound Energy
King,Spokane,99254,2015,Ford,Model 3,BEV,207,59840,Eligible,45.832697878913976,-121.79626568189082,997165,Puget Sound Energy
Spokane,Seattle,99713,2019,Tesla,Kona Electric,BEV,253,56007,Not Eligible,46.20164166718226,-121.27021396234544,107253,Tacoma Power
Clark,Spokane,99086,2012,Chevrolet,i3,BEV,245,66297,Eligible,46.94713018348556,-120.83044739618747,179311,Seattle City Light
Clark,Vancouver,99508,2017,BMW,Leaf,BEV,265,78101,Eligible,46.22170950565623,-118.81729555089977,919245,Avista
King,Seattle,99651,2012,BMW,Mustang Mach-E,PHEV,334,52684,Not Eligible,48.56796171776051,-120.17501473747386,410509,Tacoma Power
Snohomish,Vancouver,99726,2012,Hyundai,Kona Electric,BEV,245,51393,Not Eligible,46.05400189620684,-117.36682608847966,691881,Avista
Pierce,Tacoma,99597,2019,Tesla,Mustang Mach-E,PHEV,201,76707,Eligible,47.09481287543582,-123.22777744004796,249485,Tacoma Power
King,Seattle,98767,2022,Tesla,i3,BEV,63,47754,Eligible,47.61994734160957,-120.23005590289182,326833,Puget Sound Energy
Pierce,Vancouver,98482,2015,Tesla,i3,BEV,195,45799,Not Eligible,47.921523678562956,-119.70253887259383,662773,Puget Sound Energy
Pierce,Tacoma,98518,2023,Chevrolet,Leaf,BEV,106,63727,Eligible,46.840742794042775,-117.51871959051722,299304,Seattle City Light
Snohomish,Spokane,98154,2012,Ford,Leaf,BEV,260,34107,Not Eligible,48.54184674053655,-123.18046959646072,997936,Seattle City Light
Pierce,Tacoma,98091,2021,Tesla,Model 3,BEV,317,30993,Not Eligible,47.48911702877274,-119.77225269792109,902533,Avista
Pierce,Everett,98981,2018,Tesla,Mustang Mach-E,BEV,259,55805,Eligible,47.03827723156643,-117.95140546456828,633119,Seattle City Light
Snohomish,Tacoma,99549,2016,Nissan,Mustang Mach-E,BEV,66,53114,Eligible,45.73534221918213,-121.92746976722496,577799,Seattle City Light
Pierce,Tacoma,98454,2016,Chevrolet,i3,BEV,335,62789,Eligible,47.126413139558075,-117.8040997345944,414041,Avista
Pierce,Everett,99764,2012,Hyundai,Model 3,BEV,252,77059,Not Eligible,48.37257544285506,-123.3762178397171,105004,Tacoma Power
Pierce,Vancouver,98597,2021,Tesla,Kona Electric,BEV,148,77066,Eligible,47.6508935637746,-118.73904491063075,408068,Seattle City Light
King,Vancouver,99668,2022,Nissan,Mustang Mach-E,BEV,328,71314,Eligible,48.41256858805191,-117.43476406240376,514725,Tacoma Power
King,Tacoma,98509,2017,BMW,Model 3,BEV,258,67942,Eligible,47.22904084709757,-119.2282151993396,137170,Puget Sound Energy
King,Everett,99206,2020,Hyundai,Model 3,BEV,178,41138,Eligible,45.914615967830684,-120.64630991412709,667843,Seattle City Light
Snohomish,Everett,98385,2020,Tesla,i3,BEV,337,78022,Eligible,45.54773946042558,-123.20827339292734,507878,Puget Sound Energy
Clark,Spokane,99597,2019,Tesla,Model 3,PHEV,301,69527,Eligible,46.561268413515066,-117.51926021340292,218115,Puget Sound Energy
Pierce,Vancouver,99754,2016,Nissan,Leaf,BEV,314,34190,Not Eligible,47.942966650242276,-120.44307455250477,990648,Tacoma Power
Pierce,Seattle,98404,2012,Chevrolet,Leaf,PHEV,320,51723,Not Eligible,48.26590966379593,-123.31152116181634,952362,Avista
Snohomish,Vancouver,98245,2020,Tesla,Bolt,BEV,237,79237,Not Eligible,46.53513492117115,-119.01616303636305,278475,Seattle City Light
Pierce,Vancouver,98741,2012,BMW,i3,BEV,263,37886,Eligible,47.23478872309136,-120.36805785175432,398509,Tacoma Power
King,Spokane,99614,2019,Tesla,Kona Electric,BEV,332,41779,Eligible,46.973916165519285,-122.69175543662433,424332,Avista
Clark,Seattle,98660,2016,BMW,Bolt,BEV,260,53174,Not Eligible,46.93682974523,-122.1072332394833,831420,Puget Sound Energy
Spokane,Spokane,98649,2014,Hyundai,Leaf,BEV,125,54086,Eligible,46.309720496200526,-123.080810577037,460777,Seattle City Light
Pierce,Seattle,99494,2022,Hyundai,Bolt,PHEV,197,42322,Not Eligible,45.9772988676031,-119.76709199189428,163471,Puget Sound Energy
King,Tacoma,99849,2018,Ford,i3,BEV,262,67596,Not Eligible,46.18840995380925,-119.45680838486194,510372,Puget Sound Energy
Spokane,Seattle,99911,2018,Ford,i3,BEV,158,60278,Eligible,45.69366335507171,-120.2126750606896,681575,Seattle City Light
Clark,Spokane,99446,2020,BMW,Model 3,BEV,178,78788,Not Eligible,46.19345759638252,-118.188836135483,494861,Avista
Spokane,Vancouver,98900,2018,Chevrolet,Mustang Mach-E,PHEV,59,43033,Not Eligible,45.532203141688825,-117.9034426614979,421220,Avista
King,Seattle,98064,2022,Tesla,Model 3,BEV,96,45074,Eligible,47.695404402225925,-119.49844142155968,587801,Seattle City Light
Spokane,Seattle,99036,2014,Tesla,i3,BEV,145,28435,Eligible,46.60731392585689,-123.4170828819017,740763,Seattle City Light
Snohomish,Everett,98212,2022,Ford,Leaf,BEV,152,60969,Eligible,48.90600648999418,-118.98100723763972,150151,Tacoma Power
Spokane,Vancouver,98241,2012,BMW,Kona Electric,PHEV,195,78331,Eligible,46.17800967771704,-120.78300509001771,691672,Tacoma Power
Pierce,Tacoma,98492,2019,Tesla,Leaf,PHEV,76,53942,Eligible,46.71039999608358,-119.82387635902849,462009,Puget Sound Energy
Pierce,Spokane,99236,2023,Tesla,Model 3,BEV,269,54059,Eligible,46.75244405524536,-119.28097608687725,657829,Seattle City Light
Snohomish,Tacoma,99716,2014,Chevrolet,Kona Electric,PHEV,67,72921,Not Eligible,45.529580236218614,-121.223462006874,172847,Avista
King,Vancouver,98337,2023,Nissan,i3,PHEV,216,77389,Eligible,48.437227835638105,-117.53885971638334,842459,Puget Sound Energy
Pierce,Seattle,98172,2019,Ford,Leaf,BEV,131,78014,Eligible,45.611980610505135,-122.62916336612642,311811,Puget Sound Energy
Clark,Seattle,98671,2019,Ford,i3,BEV,121,57826,Not Eligible,48.790629421552346,-119.13517325267325,937387,Puget Sound Energy
Pierce,Vancouver,98163,2016,Nissan,Kona Electric,BEV,303,55297,Eligible,48.62226022882767,-123.47166273028223,593570,Puget Sound Energy
Pierce,Seattle,98464,2023,Tesla,Kona Electric,PHEV,211,68890,Not Eligible,47.37432670630087,-117.48976781486633,838027,Avista
King,Seattle,98994,2012,Chevrolet,Leaf,BEV,87,46322,Eligible,47.40258451218952,-122.7687231339524,523359,Puget Sound Energy
Spokane,Seattle,98496,2021,Chevrolet,i3,PHEV,250,60739,Eligible,47.78822273034655,-122.88325250404077,449924,Seattle City Light
Pierce,Spokane,98699,2018,Ford,Bolt,BEV,249,34719,Eligible,46.854675041772104,-121.33545038516041,792101,Tacoma Power
Snohomish,Spokane,98394,2023,Chevrolet,i3,PHEV,304,39017,Not Eligible,47.765277991892496,-121.07181914074597,520114,Avista
Spokane,Everett,98702,2021,Hyundai,Kona Electric,BEV,228,33314,Eligible,45.65668936040971,-122.10704952990129,617649,Seattle City Light
Clark,Tacoma,99940,2016,Nissan,i3,BEV,84,53295,Not Eligible,45.68916669572404,-119.69670920397368,199919,Seattle City Light
King,Vancouver,98307,2019,Tesla,Model 3,PHEV,131,34628,Eligible,47.10030646866841,-120.62105836272724,474998,Seattle City Light
Clark,Vancouver,99791,2020,Hyundai,Bolt,PHEV,269,67122,Eligible,47.42367805387112,-123.27785867123293,316746,Tacoma Power
Spokane,Vancouver,98182,2022,Nissan,Mustang Mach-E,PHEV,207,36492,Eligible,48.60736174117537,-121.42226159534054,294020,Tacoma Power
Spokane,Everett,98628,2018,BMW,Model 3,BEV,53,61113,Not Eligible,45.866312218677635,-118.2321860617744,686056,Tacoma Power
Spokane,Spokane,99817,2018,Ford,Mustang Mach-E,BEV,216,76638,Not Eligible,48.37926774517861,-119.01694002339785,143262,Seattle City Light
Clark,Everett,98509,2012,Chevrolet,Leaf,BEV,253,40357,Eligible,46.23516568052224,-118.78833945173078,498722,Tacoma Power
Spokane,Vancouver,99731,2015,BMW,Mustang Mach-E,BEV,243,58329,Eligible,46.87929276978511,-118.9622399934571,644893,Puget Sound Energy
Clark,Tacoma,98545,2013,Chevrolet,i3,BEV,284,45365,Eligible,46.60810852189594,-121.47867536101029,702878,Tacoma Power
Spokane,Seattle,99587,2013,Hyundai,Mustang Mach-E,BEV,255,64029,Eligible,46.900543455028895,-122.85218450650096,390375,Avista
Snohomish,Spokane,98623,2013,Tesla,Kona Electric,BEV,199,26737,Eligible,46.02673424325405,-121.72896330378488,703685,Seattle City Light
Spokane,Spokane,99787,2015,Tesla,Model 3,PHEV,208,34096,Not Eligible,47.26249526041244,-118.09339554879647,177123,Seattle City Light
Clark,Everett,98593,2012,Tesla,Model 3,BEV,328,44938,Not Eligible,48.30574906440979,-117.12693981441004,899947,Puget Sound Energy
Pierce,Spokane,98743,2015,Chevrolet,Mustang Mach-E,BEV,215,37682,Eligible,47.045369036326136,-120.28999440417985,449355,Tacoma Power
Spokane,Vancouver,99250,2013,BMW,Model 3,BEV,117,52499,Eligible,47.217147515643695,-123.43694769300022,531838,Tacoma Power
Pierce,Vancouver,99768,2016,Tesla,Kona Electric,BEV,137,69491,Not Eligible,48.4706865484846,-122.58970872112751,903032,Avista
Snohomish,Everett,99756,2014,BMW,Model 3,BEV,266,69866,Not Eligible,47.971203401233105,-121.40647626044428,258964,Puget Sound Energy
King,Vancouver,99459,2023,Chevrolet,Mustang Mach-E,PHEV,50,66894,Eligible,47.21659042981925,-119.73919523414582,955742,Avista
Snohomish,Tacoma,99948,2019,Hyundai,Bolt,PHEV,184,71157,Eligible,46.40193476866213,-123.01189130226545,268767,Avista
Spokane,Everett,99445,2015,BMW,Bolt,PHEV,234,66034,Eligible,48.59724361395738,-117.36817755838577,759789,Seattle City Light
Pierce,Tacoma,98553,2012,Hyundai,Leaf,PHEV,189,25294,Eligible,47.519571405916956,-121.1269561236514,759966,Seattle City Light
Pierce,Seattle,98020,2012,Chevrolet,Model 3,BEV,155,57536,Eligible,46.274016635387426,-117.56820258348866,497694,Tacoma Power
Clark,Tacoma,98553,2023,Chevrolet,Mustang Mach-E,BEV,182,49596,Eligible,46.44191913423304,-118.42660828207936,738668,Tacoma Power
Pierce,Seattle,98396,2021,Ford,Model 3,BEV,157,57649,Not Eligible,48.31096581127686,-118.58965772864872,577032,Avista
Clark,Seattle,98624,2014,Chevrolet,i3,BEV,227,36434,Eligible,45.65450946730609,-119.55632273141549,795494,Tacoma Power
King,Tacoma,98104,2020,Chevrolet,Kona Electric,BEV,347,63098,Eligible,48.97232265460087,-119.425905189163,563179,Avista
Spokane,Everett,98191,2018,Nissan,Model 3,BEV,195,29655,Eligible,45.95623087900177,-119.35297897109439,998212,Tacoma Power
Clark,Vancouver,98016,2013,Tesla,Model 3,BEV,123,42493,Not Eligible,48.28623983888928,-119.41331098433372,256547,Tacoma Power
King,Vancouver,99143,2020,Ford,Bolt,BEV,157,71228,Not Eligible,46.88171360870089,-119.90076649591066,952609,Seattle City Light
Pierce,Seattle,98392,2021,Ford,Kona Electric,BEV,171,28771,Eligible,47.22275664150614,-117.08830887986122,777090,Seattle City Light
Pierce,Seattle,98424,2013,Ford,Mustang Mach-E,BEV,66,33563,Eligible,48.582277021126025,-118.74011131173297,252185,Seattle City Light
King,Everett,98128,2014,Nissan,Model 3,BEV,245,42558,Not Eligible,46.94518916356225,-118.44984847544862,775371,Seattle City Light
Pierce,Spokane,99153,2022,Hyundai,Bolt,BEV,346,58932,Eligible,47.38122813785632,-117.82899170195611,155746,Puget Sound Energy
King,Tacoma,98571,2021,Chevrolet,Leaf,BEV,301,67243,Eligible,45.6725488184321,-122.09834154228199,798213,Seattle City Light
Clark,Seattle,99583,2013,Tesla,Kona Electric,PHEV,168,51567,Eligible,45.50821615853609,-122.9552729658821,971627,Puget Sound Energy
Clark,Vancouver,98028,2014,BMW,Bolt,BEV,211,57376,Eligible,46.35679955550604,-120.3611861621091,923250,Seattle City Light
King,Everett,99120,2017,Hyundai,Bolt,BEV,247,78618,Eligible,47.88204082521568,-120.15847547847473,268393,Tacoma Power
Clark,Tacoma,99033,2020,Chevrolet,Bolt,PHEV,94,46922,Not Eligible,45.92442712675698,-118.11031843032553,383453,Avista
Clark,Everett,98241,2020,Nissan,Model 3,BEV,228,37388,Not Eligible,45.89816685581592,-120.61540673466482,390320,Tacoma Power
Clark,Tacoma,99849,2018,Chevrolet,Model 3,BEV,93,54332,Eligible,46.93836212812566,-119.78945533396197,693167,Tacoma Power
Snohomish,Tacoma,99979,2023,Chevrolet,Leaf,BEV,320,71737,Not Eligible,47.76742963512879,-120.07403889966253,691880,Puget Sound Energy
Spokane,Seattle,98231,2014,Nissan,i3,BEV,127,48495,Eligible,47.992251972867756,-123.25168190557696,446872,Seattle City Light
Pierce,Everett,98788,2015,Ford,i3,PHEV,227,33434,Eligible,46.124577359344315,-119.50110317212005,320084,Avista
Snohomish,Everett,99307,2017,Ford,i3,PHEV,52,76952,Eligible,45.778558515802146,-118.11771864246737,821782,Avista
Clark,Vancouver,98714,2022,Tesla,Kona Electric,BEV,263,45991,Not Eligible,48.791389618809404,-122.47624643750727,895016,Seattle City Light
